# line	base	offset	resolved
30	_DAT_00000004	-0x126	SysBase.FindTask
44	DOSBase	-0x7e	DOSBase.CurrentDir
49	iVar9	-0x1e	UNRESOLVED(base=iVar9)off-0x1e
105	_DAT_00000004	-0x19e	SysBase.CloseLibrary
108	iVar9	-0x19e	UNRESOLVED(base=iVar9)off-0x19e
112	iVar9	-0x19e	UNRESOLVED(base=iVar9)off-0x19e
116	iVar9	-0x19e	UNRESOLVED(base=iVar9)off-0x19e
121	iVar9	-0x24	UNRESOLVED(base=iVar9)off-0x24
125	iVar9	-0x24	UNRESOLVED(base=iVar9)off-0x24
129	_DAT_00000004	-0x84	SysBase.Forbid
131	iVar9	-0x17a	UNRESOLVED(base=iVar9)off-0x17a
152	_DAT_00000004	-0x19e	SysBase.CloseLibrary
154	iVar1	-0x19e	UNRESOLVED(base=iVar1)off-0x19e
157	iVar1	-0x19e	UNRESOLVED(base=iVar1)off-0x19e
160	iVar1	-0x19e	UNRESOLVED(base=iVar1)off-0x19e
164	iVar1	-0x24	UNRESOLVED(base=iVar1)off-0x24
167	iVar1	-0x24	UNRESOLVED(base=iVar1)off-0x24
170	_DAT_00000004	-0x84	SysBase.Forbid
171	iVar1	-0x17a	UNRESOLVED(base=iVar1)off-0x17a
185	unaff_A6	-0x180	UNRESOLVED(base=unaff_A6)off-0x180
186	unaff_A6	-0x174	UNRESOLVED(base=unaff_A6)off-0x174
203	unaff_A6	-0x228	UNRESOLVED(base=unaff_A6)off-0x228
212	_DAT_00000004	-0x19e	SysBase.CloseLibrary
214	iVar1	-0x19e	UNRESOLVED(base=iVar1)off-0x19e
217	iVar1	-0x19e	UNRESOLVED(base=iVar1)off-0x19e
220	iVar1	-0x19e	UNRESOLVED(base=iVar1)off-0x19e
224	iVar1	-0x24	UNRESOLVED(base=iVar1)off-0x24
227	iVar1	-0x24	UNRESOLVED(base=iVar1)off-0x24
230	_DAT_00000004	-0x84	SysBase.Forbid
231	iVar1	-0x17a	UNRESOLVED(base=iVar1)off-0x17a
379	_DAT_00000004	-0xc6	SysBase.AllocMem
456	_DAT_00000004	-0xd2	SysBase.FreeMem
1407	_DAT_00000004	-0x132	SysBase.SetSignal
1437	DOSBase	-0x30	DOSBase.Write
1439	DOSBase	-0x84	DOSBase.IoErr
1458	DOSBase	-0x42	DOSBase.Seek
1460	DOSBase	-0x84	DOSBase.IoErr
1464	DOSBase	-0x42	DOSBase.Seek
1485	DOSBase	-0x24	DOSBase.Close
2042	SysBase	-0x16e	SysBase.PutMsg
2053	SysBase	-0x17a	SysBase.ReplyMsg
2064	IntuitionBase	-0x114	IntuitionBase.SetWindowTitles
2075	IntuitionBase	-0xc0	IntuitionBase.OnMenu
2378	IntuitionBase	-0x3c	IntuitionBase.ClearPointer
2389	SysBase	-0x180	SysBase.WaitPort
2412	SysBase	-0x126	SysBase.FindTask
2423	DOSBase	-0x8a	DOSBase.CreateProc
2434	SysBase	-0x174	SysBase.GetMsg
2495	IntuitionBase	-0xb4	IntuitionBase.OffMenu
2565	GfxBase	-0xc0	GfxBase.LoadRGB4
2595	SysBase	-0x234	SysBase.ObtainSemaphore
2606	IntuitionBase	-0x10e	IntuitionBase.SetPointer
2747	IntuitionBase	-0x66	IntuitionBase.DoubleClick
2798	IntuitionBase	-0xba	IntuitionBase.OnGadget
2809	SysBase	-0x23a	SysBase.ReleaseSemaphore
2840	IntuitionBase	-0xae	IntuitionBase.OffGadget
3342	GfxBase	-0xf0	GfxBase.Move
3407	GfxBase	-0x156	GfxBase.SetAPen
3436	GfxBase	-0x18c	GfxBase.ScrollRaster
3447	IntuitionBase	-0x72	IntuitionBase.DrawImage
3458	DOSBase	-0xc6	DOSBase.Delay
3488	GfxBase	-0x132	GfxBase.RectFill
3660	GfxBase	-0x162	GfxBase.SetDrMd
3868	GfxBase	-0x3c	GfxBase.Text
3879	GfxBase	-0x15c	GfxBase.SetBPen
4088	SysBase	-0x17a	SysBase.ReplyMsg
4099	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
4110	IntuitionBase	-0x1b6	IntuitionBase.AddGList
4121	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
4132	SysBase	-0x180	SysBase.WaitPort
4143	SysBase	-0x174	SysBase.GetMsg
4154	IntuitionBase	-0x72	IntuitionBase.DrawImage
4184	IntuitionBase	-0xd8	IntuitionBase.PrintIText
4770	GfxBase	-0x18c	GfxBase.ScrollRaster
4818	GfxBase	-0x25e	GfxBase.BltBitMapRastPort
4866	GfxBase	-0x15c	GfxBase.SetBPen
4984	GfxBase	-0xc6	GfxBase.InitRastPort
4995	GfxBase	-0x186	GfxBase.InitBitMap
5006	GfxBase	-0x25e	GfxBase.BltBitMapRastPort
5017	IntuitionBase	-0x72	IntuitionBase.DrawImage
5151	GfxBase	-0x25e	GfxBase.BltBitMapRastPort
6422	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
6525	IntuitionBase	-0x1b6	IntuitionBase.AddGList
7043	GfxBase	-0x132	GfxBase.RectFill
7119	GfxBase	-0x162	GfxBase.SetDrMd
7130	IntuitionBase	-0x1bc	IntuitionBase.RemoveGList
7280	IntuitionBase	-0x96	IntuitionBase.ModifyIDCMP
7900	DOSBase	-0xde	DOSBase.Execute
7959	DOSBase	-0x30	DOSBase.Write
9099	DOSBase	-0x66	DOSBase.Examine
9259	DOSBase	-0x2a	DOSBase.Read
9462	SysBase	-0x17a	SysBase.ReplyMsg
9473	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
9484	IntuitionBase	-0x1b6	IntuitionBase.AddGList
9495	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
9506	SysBase	-0x180	SysBase.WaitPort
9517	SysBase	-0x174	SysBase.GetMsg
9528	IntuitionBase	-0x72	IntuitionBase.DrawImage
9558	IntuitionBase	-0xd8	IntuitionBase.PrintIText
9599	IntuitionBase	-0x1bc	IntuitionBase.RemoveGList
9622	IntuitionBase	-0x1ce	IntuitionBase.ActivateGadget
10105	IntuitionBase	-0x138	IntuitionBase.WindowToFront
11110	SysBase	-0x17a	SysBase.ReplyMsg
11121	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
11132	IntuitionBase	-0x1b6	IntuitionBase.AddGList
11158	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
11169	SysBase	-0x180	SysBase.WaitPort
11180	SysBase	-0x174	SysBase.GetMsg
11191	IntuitionBase	-0x72	IntuitionBase.DrawImage
11221	IntuitionBase	-0xd8	IntuitionBase.PrintIText
11232	IntuitionBase	-0x1bc	IntuitionBase.RemoveGList
11255	IntuitionBase	-0x1ce	IntuitionBase.ActivateGadget
11536	SysBase	-0x17a	SysBase.ReplyMsg
11547	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
11558	IntuitionBase	-0x1b6	IntuitionBase.AddGList
11569	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
11580	SysBase	-0x180	SysBase.WaitPort
11591	SysBase	-0x174	SysBase.GetMsg
11602	IntuitionBase	-0x72	IntuitionBase.DrawImage
11632	IntuitionBase	-0xd8	IntuitionBase.PrintIText
11643	IntuitionBase	-0x14a	IntuitionBase.IntuiTextLength
11738	IntuitionBase	-0x1ce	IntuitionBase.ActivateGadget
12177	IntuitionBase	-0x72	IntuitionBase.DrawImage
12219	GfxBase	-0xc0	GfxBase.LoadRGB4
12249	IntuitionBase	-0xfc	IntuitionBase.ScreenToFront
12299	IntuitionBase	-0xa2	IntuitionBase.MoveScreen
12533	SysBase	-0x17a	SysBase.ReplyMsg
12544	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
12567	IntuitionBase	-0x1b6	IntuitionBase.AddGList
12578	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
12589	SysBase	-0x180	SysBase.WaitPort
12620	SysBase	-0x174	SysBase.GetMsg
12647	IntuitionBase	-0x72	IntuitionBase.DrawImage
12677	IntuitionBase	-0xd8	IntuitionBase.PrintIText
12707	DOSBase	-0x30	DOSBase.Write
12750	IntuitionBase	-0x1bc	IntuitionBase.RemoveGList
12773	IntuitionBase	-0x1ce	IntuitionBase.ActivateGadget
13090	SysBase	-0x16e	SysBase.PutMsg
13101	SysBase	-0x180	SysBase.WaitPort
13112	SysBase	-0x174	SysBase.GetMsg
13245	SysBase	-0x17a	SysBase.ReplyMsg
13256	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
13267	IntuitionBase	-0x1b6	IntuitionBase.AddGList
13278	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
13289	SysBase	-0x180	SysBase.WaitPort
13300	SysBase	-0x174	SysBase.GetMsg
13311	IntuitionBase	-0x72	IntuitionBase.DrawImage
13341	IntuitionBase	-0xd8	IntuitionBase.PrintIText
13381	IntuitionBase	-0x1ce	IntuitionBase.ActivateGadget
13683	SysBase	-0x16e	SysBase.PutMsg
13735	SysBase	-0x180	SysBase.WaitPort
13774	SysBase	-0x174	SysBase.GetMsg
13907	GfxBase	-0x132	GfxBase.RectFill
13918	SysBase	-0x234	SysBase.ObtainSemaphore
13980	GfxBase	-0x162	GfxBase.SetDrMd
14006	SysBase	-0x23a	SysBase.ReleaseSemaphore
14017	IntuitionBase	-0x96	IntuitionBase.ModifyIDCMP
14088	SysBase	-0x17a	SysBase.ReplyMsg
14099	IntuitionBase	-0x1b0	IntuitionBase.RefreshGList
14110	IntuitionBase	-0x1b6	IntuitionBase.AddGList
14121	IntuitionBase	-0x6c	IntuitionBase.DrawBorder
14132	SysBase	-0x180	SysBase.WaitPort
14143	SysBase	-0x174	SysBase.GetMsg
14154	IntuitionBase	-0x72	IntuitionBase.DrawImage
14184	IntuitionBase	-0xd8	IntuitionBase.PrintIText
14783	SysBase	-0x17a	SysBase.ReplyMsg
14794	SysBase	-0x1c8	SysBase.DoIO
14857	SysBase	-0x174	SysBase.GetMsg
14916	IntuitionBase	-0x72	IntuitionBase.DrawImage
14946	IntuitionBase	-0xd8	IntuitionBase.PrintIText
15015	SysBase	-0x1ce	SysBase.SendIO
15063	SysBase	-0x13e	SysBase.Wait
15138	IntuitionBase	-0x96	IntuitionBase.ModifyIDCMP
15893	SysBase	-0x17a	SysBase.ReplyMsg
15904	IntuitionBase	-0x36	IntuitionBase.ClearMenuStrip
15915	DOSBase	-0x1e	DOSBase.Open
15926	IntuitionBase	-0xc6	IntuitionBase.OpenScreen
15937	IntuitionBase	-0xcc	IntuitionBase.OpenWindow
15948	SysBase	-0xd2	SysBase.FreeMem
15959	DOSBase	-0x96	DOSBase.LoadSeg
15990	DOSBase	-0x24	DOSBase.Close
16001	SysBase	-0x228	SysBase.OpenLibrary
16012	SysBase	-0x1c2	SysBase.CloseDevice
16023	DOSBase	-0xd2	DOSBase.ParentDir
16051	SysBase	-0x1bc	SysBase.OpenDevice
16062	DOSBase	-0x5a	DOSBase.UnLock
16073	SysBase	-0x84	SysBase.Forbid
16084	DOSBase	-0x9c	DOSBase.UnLoadSeg
16116	SysBase	-0xfc	SysBase.Remove
16149	IntuitionBase	-0x108	IntuitionBase.SetMenuStrip
16160	DOSBase	-0x54	DOSBase.Lock
16171	SysBase	-0x8a	SysBase.Permit
16193	DOSBase	-0x66	DOSBase.Examine
16204	IntuitionBase	-0x48	IntuitionBase.CloseWindow
16215	SysBase	-0xf0	SysBase.AddHead
16226	DOSBase	-0x2a	DOSBase.Read
16237	IntuitionBase	-0x42	IntuitionBase.CloseScreen
16248	SysBase	-0x19e	SysBase.CloseLibrary
