"Disk","C64Name","OutFile","Bytes","Status"
"C64-Compunet-Demos\001-050\DEMO010A.D64","HACKER + INFO","DEMO010A__HACKER_+_INFO.seq","757","OK"
"C64-Compunet-Demos\001-050\DEMO010A.D64","HUBBARD HACKER I","DEMO010A__HUBBARD_HACKER_I.seq","875","OK"
"C64-Compunet-Demos\001-050\DEMO011A.D64","KEYWORDS","DEMO011A__KEYWORDS.seq","5862","OK"
"C64-Compunet-Demos\001-050\DEMO027A.D64","ASTERIX PIC","DEMO027A__ASTERIX_PIC.seq","1058","OK"
"C64-Compunet-Demos\051-100\DEMO057A.D64","01/03/87","DEMO057A__01_03_87.seq","1745","OK"
"C64-Compunet-Demos\051-100\DEMO084A.D64","ZOUND II/CHAIN","DEMO084A__ZOUND_II_CHAIN.seq","36","OK"
"C64-Compunet-Demos\051-100\DEMO088A.D64","DATACHUNK","DEMO088A__DATACHUNK.seq","1418","OK"
"C64-Compunet-Demos\151-200\DEMO185A.D64","TRASH TRUTH","DEMO185A__TRASH_TRUTH.seq","5603","OK"
"C64-Compunet-Demos\201-250\DEMO205A.D64","MAKKS NO","DEMO205A__MAKKS_NO.seq","466","OK"
"C64-Compunet-Demos\201-250\DEMO205B.D64","16 BIT S/WARE","DEMO205B__16_BIT_S_WARE.seq","1524","OK"
"C64-Compunet-Demos\201-250\DEMO223B.D64","SPLIT INS+ADD.","DEMO223B__SPLIT_INS+ADD..seq","4095","OK"
"C64-Compunet-Demos\301-350\DEMO312B.D64","CHAOS CHRONICLE4","DEMO312B__CHAOS_CHRONICLE4.seq","10668","OK"
"C64-Compunet-Demos\301-350\DEMO328B.D64","CHAOS CHRONICLE5","DEMO328B__CHAOS_CHRONICLE5.seq","27179","OK"
"C64-Compunet-Demos\301-350\DEMO340B.D64","E.EUPHORIA ISS.1","DEMO340B__E.EUPHORIA_ISS.1.seq","18034","OK"
"C64-Compunet-Demos\301-350\DEMO348A.D64","E.EUPHORIA ISS.2","DEMO348A__E.EUPHORIA_ISS.2.seq","35960","OK"
"C64-Compunet-Demos\401-450\DEMO418B.D64","TOPICS.SAMPLE","DEMO418B__TOPICS.SAMPLE.seq","384","OK"
"C64-Compunet-Demos\401-450\DEMO420B.D64","TOPICS.SAMPLE1","DEMO420B__TOPICS.SAMPLE1.seq","483","OK"
"C64-Compunet-Demos\401-450\DEMO420B.D64","BAD BLOOD DOCS","DEMO420B__BAD_BLOOD_DOCS.seq","4664","OK"
"C64-Compunet-Demos\401-450\DEMO442A.D64","TOPICS.SAMPLE1","DEMO442A__TOPICS.SAMPLE1.seq","483","OK"
"C64-Compunet-Demos\401-450\DEMO450B.D64","?`KOALA SRC.TUR?","DEMO450B___`KOALA_SRC.TUR_.seq","1302","OK"
"C64-Compunet-Demos\401-450\DEMO450B.D64","?`O C P SRC.TUR?","DEMO450B___`O_C_P_SRC.TUR_.seq","1075","OK"
"C64-Compunet-Demos\451-500\DEMO453B.D64","MANIPULATION#001","DEMO453B__MANIPULATION#001.seq","9029","OK"
"C64-Compunet-Demos\451-500\DEMO466A.D64","0.DOCS V2.0  [S]","DEMO466A__0.DOCS_V2.0_[S].seq","986","OK"
"C64-Compunet-Demos\451-500\DEMO466A.D64","1.SHEET #1   [S]","DEMO466A__1.SHEET_#1_[S].seq","997","OK"
"C64-Compunet-Demos\451-500\DEMO466A.D64","2.SHEET #2   [S]","DEMO466A__2.SHEET_#2_[S].seq","1330","OK"
"C64-Compunet-Demos\451-500\DEMO466A.D64","3.SHEET #3   [S]","DEMO466A__3.SHEET_#3_[S].seq","984","OK"
"C64-Compunet-Demos\451-500\DEMO500B.D64","UNDOC OPCODES","DEMO500B__UNDOC_OPCODES.seq","14254","OK"
"C64-Compunet-Demos\501-550\DEMO504B.D64","TOP PRIORITY #01","DEMO504B__TOP_PRIORITY_#01.seq","17688","OK"
"C64-Compunet-Demos\501-550\DEMO512B.D64","EB-EDIT.DOC","DEMO512B__EB-EDIT.DOC.seq","6493","OK"
"C64-Compunet-Demos\501-550\DEMO526B.D64","EBEDIT41.DOC","DEMO526B__EBEDIT41.DOC.seq","6181","OK"
